trade_date,market,code,name,buy,sell,net,market_cap,net_to_cap_%
20260730,KOSPI,006280,녹십자,60174000,51295300,8878700,1347457831400,0.0007
20260730,KOSPI,222040,코스맥스엔비티,8876020,0,8876020,147490200000,0.0060
20260730,KOSPI,060370,LS마린솔루션,8634750,0,8634750,1266792209500,0.0007
20260730,KOSPI,356860,티엘비,439986100,433385850,6600250,247637104000,0.0027
20260730,KOSPI,051600,한전KPS,82366850,77121950,5244900,1955250000000,0.0003
20260730,KOSPI,000640,동아쏘시오홀딩스,227630300,222418300,5212000,585056596300,0.0009
20260730,KOSPI,000210,DL,39546250,34731850,4814400,877003745400,0.0005
20260730,KOSPI,000120,CJ대한통운,68683400,64350200,4333200,1706363331200,0.0003
20260730,KOSPI,017960,한국카본,52720140,50202755,2517385,1036113544300,0.0002
20260730,KOSPI,071320,지역난방공사,13041700,12955700,86000,764197104000,0.0000
20260730,KOSPI,299660,셀리드,1404971,1391419,13552,57324284311,0.0000
20260730,KOSPI,064260,다날,929485,926295,3190,319602055825,0.0000
20260730,KOSPI,024060,흥구석유,126490,126390,100,162000000000,0.0000
20260730,KOSPI,484810,티엑스알로보틱스,251460,251370,90,182011778700,0.0000
20260730,KOSPI,413630,씨피시스템,670045,671450,-1405,133357974300,-0.0000
20260730,KOSPI,459510,나우로보틱스,260010,266580,-6570,166772208700,-0.0000
20260730,KOSPI,011420,갤럭시아에스엠,0,75859,-75859,36255331504,-0.0002
20260730,KOSPI,055490,테이팩스,0,106550,-106550,52557417000,-0.0002
20260730,KOSPI,352480,씨앤씨인터내셔널,0,119680,-119680,230890522940,-0.0001
20260730,KOSPI,396690,미래에셋글로벌리츠,0,127412,-127412,63844775280,-0.0002
20260730,KOSPI,023800,인지컨트롤스,0,157135,-157135,78255525150,-0.0002
20260730,KOSPI,013570,디와이,0,198880,-198880,102646568700,-0.0002
20260730,KOSPI,004250,NPC,0,204660,-204660,99511200000,-0.0002
20260730,KOSPI,002620,제일파마홀딩스,0,209670,-209670,109098014650,-0.0002
20260730,KOSPI,016710,대성홀딩스,0,221580,-221580,108442953660,-0.0002
20260730,KOSPI,009270,신원,0,223041,-223041,112589755533,-0.0002
20260730,KOSPI,210540,디와이파워,0,223260,-223260,114723346120,-0.0002
20260730,KOSPI,001360,삼성제약,0,226311,-226311,112241198168,-0.0002
20260730,KOSPI,120030,조선선재,0,236900,-236900,101240905500,-0.0002
20260730,KOSPI,020120,키다리스튜디오,0,245340,-245340,122310427800,-0.0002
20260730,KOSPI,194480,데브시스터즈,0,247720,-247720,170778432000,-0.0001
20260730,KOSPI,006060,화승인더,0,263182,-263182,131385000000,-0.0002
20260730,KOSPI,271980,제일약품,0,270420,-270420,134843676240,-0.0002
20260730,KOSPI,015230,대창단조,0,291360,-291360,147389856600,-0.0002
20260730,KOSPI,460850,동국씨엠,0,292890,-292890,150091253120,-0.0002
20260730,KOSPI,000700,유수홀딩스,0,313170,-313170,158073798840,-0.0002
20260730,KOSPI,102260,동성케미컬,0,334605,-334605,170756521670,-0.0002
20260730,KOSPI,016450,한세예스24홀딩스,0,340640,-340640,168600000000,-0.0002
20260730,KOSPI,234080,JW생명과학,0,344460,-344460,172438293060,-0.0002
20260730,KOSPI,377190,디앤디플랫폼리츠,0,357629,-357629,174413200000,-0.0002
20260730,KOSPI,339770,교촌에프앤비,0,358430,-358430,182122716600,-0.0002
20260730,KOSPI,102460,이연제약,0,359060,-359060,181221407250,-0.0002
20260730,KOSPI,241590,화승엔터프라이즈,0,359915,-359915,182373720760,-0.0002
20260730,KOSPI,001630,종근당홀딩스,0,372150,-372150,190875704100,-0.0002
20260730,KOSPI,013890,지누스,0,373330,-373330,189000508060,-0.0002
20260730,KOSPI,035150,백산,0,374070,-374070,189406936820,-0.0002
20260730,KOSPI,095570,AJ네트웍스,0,374240,-374240,187120158465,-0.0002
20260730,KOSPI,278280,천보,0,374950,-374950,355950376250,-0.0001
20260730,KOSPI,005010,휴스틸,0,378120,-378120,193006037625,-0.0002
20260730,KOSPI,053210,스카이라이프,0,379765,-379765,190091820000,-0.0002
20260730,KOSPI,078340,컴투스,0,385450,-385450,334324804450,-0.0001
20260730,KOSPI,348210,넥스틴,0,393150,-393150,270830579250,-0.0001
20260730,KOSPI,225570,넥슨게임즈,0,404370,-404370,580228132940,-0.0001
20260730,KOSPI,003520,영진약품,0,410591,-410591,210143747919,-0.0002
20260730,KOSPI,136490,선진,0,423725,-423725,215443212240,-0.0002
20260730,KOSPI,272290,이녹스첨단소재,0,434980,-434980,346314531330,-0.0001
20260730,KOSPI,095660,네오위즈,0,438050,-438050,397678116420,-0.0001
20260730,KOSPI,204270,제이앤티씨,0,451665,-451665,676248567540,-0.0001
